Id,LotFrontage,LotArea,BldgType1Fam,BldgType2fmCon,BldgTypeDuplex,BldgTypeTwnhs,BldgTypeTwnhsE,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,HeatingGasA,HeatingGasW,HeatingGrav,HeatingWall,CentralAirN,CentralAirY,GrLivArea,PoolArea,YrSold
50,79,7244,1,0,0,0,0,6,6,1,1,5,1997,1128,2,1,0,0,0,0,1,2466,0,2006
51,81,9765,0,0,0,0,1,7,4,2,0,7,1953,672,2,1,0,0,0,0,1,1291,0,2009
52,70,10570,1,0,0,0,0,5,7,1,0,6,2003,1144,3,1,0,0,0,0,1,1501,0,2006
53,,9100,1,0,0,0,0,6,5,2,1,5,2004,520,4,1,0,0,0,0,1,2090,0,2008
54,82,10005,1,0,0,0,0,3,9,3,0,6,2003,912,3,1,0,0,0,0,1,825,0,2009
55,75,1526,1,0,0,0,0,6,5,2,0,4,1965,0,4,1,0,0,0,0,1,1306,0,2008
56,,7930,1,0,0,0,0,5,5,2,0,5,2007,910,3,1,0,0,0,0,1,1802,0,2007
57,60,9750,1,0,0,0,0,4,5,1,0,4,1925,1144,3,1,0,0,0,0,1,2775,0,2007
58,75,46589,1,0,0,0,0,4,5,1,1,7,1922,729,3,1,0,0,0,0,1,1680,0,2007
59,50,5000,1,0,0,0,0,5,6,1,1,6,1925,1008,3,1,0,0,0,0,1,1446,0,2009
60,62,10500,1,0,0,0,0,8,3,1,0,7,1956,783,3,1,0,0,0,0,1,1800,0,2009
61,21,12099,1,0,0,0,0,7,5,2,1,6,1931,384,2,1,0,0,0,0,1,1440,0,2010
62,50,12257,1,0,0,0,0,9,5,1,1,12,1971,702,3,1,0,0,0,0,1,2158,0,2006
63,60,9790,1,0,0,0,0,8,5,2,1,3,1966,1092,4,1,0,0,0,1,0,1121,0,2010
64,51,1890,1,0,0,0,0,5,7,1,1,7,1918,1181,2,1,0,0,0,0,1,2612,0,2008
65,59,12003,1,0,0,0,0,6,7,1,1,7,1930,3094,3,1,0,0,0,0,1,1077,0,2006
66,21,14587,0,1,0,0,0,9,5,1,0,7,1929,1686,3,1,0,0,0,0,1,2144,0,2008
67,,9020,1,0,0,0,0,5,5,2,0,6,2008,105,3,1,0,0,0,0,1,1048,0,2006
68,78,14200,0,0,0,0,1,7,5,1,1,6,1992,849,2,1,0,0,0,0,1,1800,0,2009
69,107,5119,1,0,0,0,0,7,5,2,0,6,1954,1266,2,1,0,0,0,0,1,1212,0,2009
70,62,10200,0,1,0,0,0,4,5,1,0,8,1998,811,2,1,0,0,0,0,1,2034,0,2009
71,80,6762,1,0,0,0,0,7,5,1,0,8,1972,384,2,1,0,0,0,0,1,1080,0,2007
72,35,10386,1,0,0,0,0,6,5,2,0,7,1936,1686,4,1,0,0,0,0,1,1949,0,2009
73,70,8366,1,0,0,0,0,7,5,1,0,5,1953,1869,2,1,0,0,0,0,1,1470,0,2010
74,60,10927,1,0,0,0,0,5,5,1,0,7,1974,1436,3,1,0,0,0,0,1,1928,0,2009
75,,15660,1,0,0,0,0,7,3,0,0,9,1972,1253,2,1,0,0,0,0,1,1252,0,2008
76,50,1680,1,0,0,0,0,9,5,2,0,4,2005,1008,4,1,0,0,0,0,1,1262,0,2006
77,97,8500,1,0,0,0,0,5,6,1,0,7,1957,856,2,1,0,0,0,0,1,1563,0,2010
78,92,12155,1,0,0,0,0,5,8,2,1,6,1923,996,2,1,0,0,0,0,1,1652,0,2009
79,88,7259,1,0,0,0,0,7,5,1,1,7,2004,1003,4,1,0,0,0,0,1,1317,0,2010
80,60,11500,0,0,0,0,1,5,5,2,0,7,2003,728,3,1,0,0,0,0,1,1375,0,2007
81,65,9100,1,0,0,0,0,6,5,1,0,7,1940,561,1,1,0,0,0,0,1,1040,0,2006
82,21,4058,1,0,0,0,0,7,5,2,1,7,2000,926,3,1,0,0,0,0,1,960,0,2009
83,60,18450,1,0,0,0,0,6,7,1,0,7,2005,773,3,1,0,0,0,0,1,1301,0,2010
84,53,9600,0,0,0,1,0,6,6,2,0,7,1961,1833,1,1,0,0,0,0,1,858,0,2008
85,51,9180,1,0,0,0,0,6,7,2,1,7,2005,1385,3,1,0,0,0,0,1,767,0,2009
86,141,17600,0,0,0,0,1,6,5,2,1,8,1946,689,3,1,0,0,0,0,1,3112,0,2007
87,105,12456,1,0,0,0,0,6,5,2,0,6,1997,2444,3,1,0,0,0,0,1,1003,0,2006
88,,7200,1,0,0,0,0,7,5,2,0,10,1990,660,3,1,0,0,0,0,1,1113,0,2007
89,96,12205,1,0,0,0,0,6,6,2,0,4,1925,979,3,1,0,0,0,0,1,1208,0,2010
90,50,6000,1,0,0,0,0,4,6,1,1,8,2005,540,4,1,0,0,0,0,1,1632,0,2007
91,100,7800,0,0,0,0,1,6,5,3,0,10,2004,2109,3,1,0,0,0,0,1,1920,0,2007
92,78,3604,1,0,0,0,0,7,6,2,1,5,1970,1566,2,1,0,0,0,0,1,1159,0,2009
93,60,7200,1,0,0,0,0,8,5,1,0,6,1963,715,4,1,0,0,0,0,1,1269,0,2008
94,,8536,1,0,0,0,0,6,7,2,0,10,2005,1470,2,1,0,0,0,0,1,2730,0,2008
95,59,2572,1,0,0,0,0,8,5,2,0,6,2007,744,4,1,0,0,0,0,1,1560,0,2010
96,91,21535,1,0,0,0,0,5,5,2,0,8,1976,483,4,1,0,0,0,0,1,1215,0,2006
97,,8765,1,0,0,0,0,7,5,2,0,7,1958,1517,3,1,0,0,0,1,0,1473,0,2006
98,75,11782,1,0,0,0,0,6,5,2,1,10,2002,1276,2,1,0,0,0,0,1,2192,0,2006
99,71,2289,1,0,0,0,0,6,7,1,0,8,1976,1670,2,1,0,0,0,0,1,1577,0,2007
100,,15611,0,0,0,0,1,5,5,2,1,6,1990,1204,2,1,0,0,0,1,0,1217,0,2010
101,48,9450,1,0,0,0,0,5,8,1,0,9,1946,1050,2,1,0,0,0,0,1,2531,0,2008
102,,11426,1,0,0,0,0,6,5,2,1,7,1954,1125,4,1,0,0,0,0,1,1547,0,2007
103,60,7851,1,0,0,0,0,5,5,2,0,6,2003,1561,2,1,0,0,0,0,1,1961,0,2007
104,65,8000,1,0,0,0,0,5,5,1,1,8,1954,1161,3,1,0,0,0,0,1,848,0,2008
105,,4274,1,0,0,0,0,5,5,1,0,4,1975,1116,4,1,0,0,0,0,1,840,0,2009
106,106,10628,1,0,0,0,0,5,5,1,0,6,1964,1138,2,1,0,0,0,1,0,1317,0,2009
107,70,9855,0,0,0,0,1,8,5,1,1,7,1998,1379,2,1,0,0,0,0,1,1362,0,2009
108,60,7500,1,0,0,0,0,7,5,1,0,7,2007,1391,2,1,0,0,0,1,0,1616,0,2007
109,24,7000,1,0,0,0,0,5,8,1,0,5,2005,702,3,1,0,0,0,0,1,1445,0,2009
110,,8281,0,1,0,0,0,4,8,1,1,5,1972,1100,3,1,0,0,0,0,1,1328,0,2008
111,60,12800,1,0,0,0,0,4,5,2,1,5,2007,725,2,1,0,0,0,0,1,2172,0,2009
112,79,9945,1,0,0,0,0,8,6,2,1,7,2005,864,4,1,0,0,0,0,1,2576,0,2009
113,60,16635,0,0,1,0,0,5,5,1,0,8,1981,849,3,1,0,0,0,0,1,816,0,2009
114,122,14762,1,0,0,0,0,5,7,1,1,8,1970,943,3,1,0,0,0,0,1,1477,0,2008
115,141,10667,1,0,0,0,0,5,6,1,1,5,1960,953,2,1,0,0,0,0,1,1458,0,2008
116,,10200,1,0,0,0,0,5,7,1,1,7,1969,1214,3,1,0,0,0,0,1,1940,0,2009
117,,2268,0,0,1,0,0,6,5,2,1,7,1951,1350,3,1,0,0,0,0,1,1752,0,2006
118,51,10355,1,0,0,0,0,10,6,2,0,6,1965,1144,2,1,0,0,0,0,1,1342,0,2010
119,75,12803,1,0,0,0,0,5,5,1,0,6,1970,1709,2,1,0,0,0,0,1,981,0,2007
120,80,7200,1,0,0,0,0,7,5,1,1,7,1996,723,3,1,0,0,0,0,1,1150,0,2006
121,63,10400,1,0,0,0,0,7,5,2,0,6,2004,990,3,1,0,0,0,0,1,1908,0,2010
122,55,25095,1,0,0,0,0,6,5,2,1,7,1959,736,3,1,0,0,0,0,1,1073,0,2006
123,75,10400,1,0,0,0,0,5,5,1,0,4,2004,1028,3,1,0,0,0,0,1,894,0,2008
124,82,11553,1,0,0,0,0,8,6,1,1,7,1986,983,3,1,0,0,0,0,1,1573,0,2007
125,50,3072,1,0,0,0,0,8,7,2,0,6,1918,672,3,1,0,0,0,0,1,1224,0,2007
126,66,10896,1,0,0,0,0,8,5,1,0,8,2005,864,3,1,0,0,0,0,1,1040,0,2008
127,65,7227,1,0,0,0,0,8,6,1,1,5,1880,750,2,1,0,0,0,0,1,2704,0,2006
128,70,9320,1,0,0,0,0,6,5,2,0,8,1982,1466,2,1,0,0,0,0,1,1344,0,2006
129,30,8400,0,0,0,0,1,5,5,1,0,4,1970,1650,3,1,0,0,0,0,1,1496,0,2007
130,66,6762,0,0,1,0,0,6,5,1,0,5,2004,1050,2,1,0,0,0,0,1,1960,0,2009
131,79,9600,0,0,0,0,1,5,5,1,0,8,2007,483,3,1,0,0,0,0,1,1118,0,2009
132,24,6240,1,0,0,0,0,6,6,1,0,6,1951,816,3,1,0,0,0,0,1,1520,0,2007
133,,14963,0,0,0,0,1,9,5,1,0,10,1956,2153,1,1,0,0,0,0,1,907,0,2006
134,57,1300,0,0,1,0,0,5,5,1,0,5,1970,641,3,1,0,0,0,0,1,999,0,2008
135,,13284,1,0,0,0,0,7,5,2,0,4,1958,689,2,1,0,0,0,0,1,1120,0,2008
136,56,13695,1,0,0,0,0,8,5,1,0,6,2004,721,1,1,0,0,0,0,1,1954,0,2007
137,50,9084,1,0,0,0,0,4,5,1,0,7,2009,1470,3,1,0,0,0,0,1,848,0,2010
138,110,10200,1,0,0,0,0,7,5,1,0,6,2004,672,2,1,0,0,0,0,1,1680,0,2006
139,35,8658,1,0,0,0,0,6,6,2,0,7,1920,672,4,1,0,0,0,0,1,2020,0,2010
140,108,8475,1,0,0,0,0,6,7,2,1,5,1993,1602,2,1,0,0,0,0,1,1044,0,2007
141,100,9600,1,0,0,0,0,7,5,2,0,8,1963,920,4,1,0,0,0,0,1,1336,0,2008
142,52,15611,1,0,0,0,0,4,7,1,1,7,2003,928,3,1,0,0,0,0,1,1680,0,2007
143,61,8600,0,0,0,1,0,8,5,1,1,9,1990,1235,3,1,0,0,0,0,1,1368,0,2009
144,87,10140,0,0,1,0,0,7,9,2,1,5,1957,824,4,1,0,0,0,0,1,1661,0,2010
145,95,11475,1,0,0,0,0,5,6,2,0,6,2000,672,2,1,0,0,0,0,1,2520,0,2006
146,70,7861,1,0,0,0,0,5,5,2,0,4,1928,780,3,1,0,0,0,0,1,1428,0,2007
147,50,10335,1,0,0,0,0,8,5,1,0,6,2004,1028,3,1,0,0,0,0,1,884,0,2007
148,76,7018,1,0,0,0,0,7,5,1,0,7,1880,948,3,1,0,0,0,0,1,1978,0,2009
149,,6240,1,0,0,0,0,7,5,1,0,7,1939,1144,2,1,0,0,0,0,1,1108,0,2008
150,84,14154,0,0,0,1,0,7,5,2,0,10,1995,1470,0,1,0,0,0,0,1,1714,0,2006
151,75,4590,0,0,1,0,0,6,5,2,0,8,2005,1060,3,1,0,0,0,0,1,1872,0,2010
152,80,7931,1,0,0,0,0,4,5,1,1,8,1954,1436,4,1,0,0,0,0,1,2287,0,2008
153,79,1680,0,0,1,0,0,7,5,1,1,6,2006,880,2,1,0,0,0,0,1,1414,0,2006
154,60,8800,1,0,0,0,0,5,5,2,0,9,1965,1114,3,1,0,0,0,0,1,1029,0,2006
155,60,8755,1,0,0,0,0,7,5,1,0,7,1980,780,3,1,0,0,0,0,1,1309,0,2007
156,100,10041,1,0,0,0,0,6,5,2,0,7,1969,864,4,1,0,0,0,0,1,1040,0,2008
157,72,8480,1,0,0,0,0,6,5,2,0,5,1953,1128,3,1,0,0,0,0,1,1620,0,2008
158,,8544,1,0,0,0,0,6,5,2,0,7,2004,1051,3,1,0,0,0,0,1,1100,0,2010
159,75,11250,1,0,0,0,0,4,7,1,0,6,1956,728,3,1,0,0,0,0,1,2031,0,2008
160,78,7920,1,0,0,0,0,5,7,1,1,5,1934,1017,2,1,0,0,0,0,1,1790,0,2009
161,110,7800,0,0,0,0,1,5,5,2,0,10,1998,864,2,1,0,0,0,0,1,1470,0,2007
162,,10800,1,0,0,0,0,5,6,1,0,5,2004,1482,2,1,0,0,0,0,1,1756,0,2008
163,,13005,1,0,0,0,0,7,5,2,0,5,1977,684,4,1,0,0,0,0,1,2082,0,2010
164,79,10400,1,0,0,0,0,6,6,2,0,6,1971,747,2,1,0,0,0,0,1,1301,0,2009
165,,5062,1,0,0,0,0,9,5,1,0,6,1969,702,3,1,0,0,0,0,1,1337,0,2009
166,75,9187,1,0,0,0,0,5,5,2,0,6,1997,953,3,1,0,0,0,0,1,1456,0,2009
167,80,7032,1,0,0,0,0,8,5,1,1,6,1982,1768,3,1,0,0,0,0,1,1739,0,2009
168,64,16033,1,0,0,0,0,6,5,2,0,7,2004,1164,3,1,0,0,0,0,1,1577,0,2007
169,80,8320,1,0,0,0,0,7,5,1,0,5,2009,0,1,1,0,0,0,0,1,1296,0,2009
170,60,10380,1,0,0,0,0,6,5,2,1,6,1949,572,3,0,1,0,0,0,1,1208,0,2007
171,96,7200,1,0,0,0,0,8,5,1,0,6,1959,795,3,1,0,0,0,0,1,854,0,2006
172,49,7000,1,0,0,0,0,7,5,1,1,10,2007,991,3,1,0,0,0,0,1,1839,0,2009
173,86,12886,1,0,0,0,0,7,5,1,0,7,2004,1040,2,1,0,0,0,0,1,2078,0,2007
174,58,7590,1,0,0,0,0,5,5,1,0,5,2007,776,1,1,0,0,0,0,1,1494,0,2008
175,65,7136,0,0,0,0,1,4,5,2,1,10,1912,980,2,1,0,0,0,0,1,943,0,2007
176,100,3604,1,0,0,0,0,6,5,2,0,3,2003,1396,3,1,0,0,0,0,1,1714,0,2006
177,,13474,0,0,1,0,0,6,5,2,0,9,1971,1431,3,0,0,1,0,0,1,1626,0,2007
178,,10150,1,0,0,0,0,8,5,2,1,6,1916,1225,3,1,0,0,0,0,1,1110,0,2009
179,60,16059,0,0,1,0,0,5,5,1,0,7,1900,847,3,1,0,0,0,0,1,1691,0,2010
180,83,10652,0,1,0,0,0,5,6,2,0,6,1916,1164,2,1,0,0,0,0,1,1097,0,2007
181,74,5232,1,0,0,0,0,9,5,2,1,9,1940,1117,3,1,0,0,0,0,1,902,0,2009
182,70,7861,1,0,0,0,0,5,5,1,0,12,2000,1800,3,1,0,0,0,0,1,3222,0,2007
183,50,8100,1,0,0,0,0,6,7,1,1,10,1971,858,3,1,0,0,0,0,1,1541,0,2009
184,60,7200,0,0,1,0,0,5,7,2,0,5,1977,1905,4,1,0,0,0,0,1,2291,0,2007
185,44,8475,0,0,0,0,1,6,5,2,0,7,1920,1414,3,1,0,0,0,0,1,2013,0,2010
186,72,18386,1,0,0,0,0,7,5,1,1,5,2000,1001,3,1,0,0,0,0,1,1728,0,2010
187,66,13478,1,0,0,0,0,8,5,1,1,9,1892,1057,3,1,0,0,0,0,1,1721,0,2009
188,52,7800,1,0,0,0,0,7,8,2,1,6,1972,728,5,1,0,0,0,1,0,1392,0,2008
189,68,8125,1,0,0,0,0,3,8,1,1,11,1949,832,3,1,0,0,0,1,0,1054,0,2007
190,41,9101,1,0,0,0,0,4,7,2,0,7,1958,1424,4,1,0,0,0,0,1,2087,0,2009
191,76,14559,1,0,0,0,0,7,6,2,0,6,2003,1040,3,1,0,0,0,0,1,1392,0,2010
192,62,9675,1,0,0,0,0,7,5,1,1,6,1954,1649,3,1,0,0,0,0,1,1855,0,2009
193,,10793,0,0,0,1,0,6,5,2,1,6,1954,1650,4,1,0,0,0,0,1,2320,0,2006
194,41,7175,0,0,0,0,1,7,7,1,0,4,1940,732,2,1,0,0,0,0,1,1728,0,2006
195,60,4224,1,0,0,0,0,8,6,1,0,4,1984,1541,3,1,0,0,0,0,1,4316,0,2008
196,,6993,0,0,0,0,1,6,6,1,1,9,1999,780,1,1,0,0,0,0,1,1950,0,2009
197,,13159,0,0,0,1,0,6,7,2,0,6,2005,1030,3,1,0,0,0,0,1,1056,0,2008
198,75,11333,1,0,0,0,0,4,6,3,1,6,1957,483,3,1,0,0,0,0,1,1348,0,2007
199,85,10000,1,0,0,0,0,7,5,2,0,8,1920,1084,3,1,0,0,0,0,1,1752,0,2010
200,,16669,1,0,0,0,0,9,7,1,0,11,1928,896,3,1,0,0,0,0,1,1301,0,2008
201,86,6768,0,0,0,0,1,5,5,2,0,5,2002,1098,2,1,0,0,0,0,1,2020,0,2009
202,80,7200,1,0,0,0,0,6,5,2,1,5,1988,1121,2,1,0,0,0,0,1,1072,0,2008
203,85,13284,1,0,0,0,0,5,7,1,0,4,1971,894,3,1,0,0,0,0,1,1489,0,2006
204,45,7750,1,0,0,0,0,5,5,2,0,5,2005,384,2,1,0,0,0,0,1,1224,0,2009
205,60,6930,1,0,0,0,0,5,4,2,0,6,2004,1266,3,1,0,0,0,1,0,2229,0,2009
206,67,10846,0,0,0,0,1,7,5,1,0,8,1957,1868,2,1,0,0,0,0,1,1442,0,2006
207,59,6960,1,0,0,0,0,5,6,2,1,6,1963,861,2,1,0,0,0,1,0,1308,0,2009
208,55,17140,1,0,0,0,0,6,6,1,0,6,1961,1029,2,1,0,0,0,0,1,1252,0,2006
209,53,8405,0,1,0,0,0,8,5,2,0,8,1953,813,3,1,0,0,0,0,1,965,0,2006
210,43,10593,1,0,0,0,0,5,8,2,0,6,1953,1844,3,1,0,0,0,1,0,1510,0,2009
211,70,21780,0,1,0,0,0,3,6,1,1,6,1997,864,3,1,0,0,0,0,1,1086,0,2008
212,,6600,1,0,0,0,0,7,7,1,1,7,1971,955,4,1,0,0,0,0,1,951,0,2010
213,,2651,1,0,0,0,0,5,4,1,0,7,1995,1563,3,1,0,0,0,0,1,1796,0,2008
214,79,10007,1,0,0,0,0,7,7,2,0,10,1978,864,3,1,0,0,0,0,1,2417,0,2009
215,64,9100,0,0,0,0,1,7,5,2,1,5,1952,715,3,1,0,0,0,0,1,1839,0,2008
216,,10570,1,0,0,0,0,7,5,2,0,5,1925,1149,3,1,0,0,0,1,0,2730,0,2006
217,47,9571,0,0,0,1,0,7,9,1,1,6,1977,1181,3,1,0,0,0,0,1,825,0,2007
218,,11409,1,0,0,0,0,7,5,1,0,5,2003,1484,3,1,0,0,0,0,1,1471,0,2007
219,134,11787,1,0,0,0,0,7,5,1,0,9,1990,1244,3,1,0,0,0,0,1,1204,0,2010
220,95,10005,1,0,0,0,0,4,5,2,0,5,2005,1064,2,1,0,0,0,0,1,1442,0,2007
221,65,7851,1,0,0,0,0,6,6,2,0,8,2002,1164,2,1,0,0,0,0,1,1165,0,2007
222,91,8400,1,0,0,0,0,5,6,2,1,10,1916,1494,3,1,0,0,0,0,1,952,0,2007
223,70,8760,1,0,0,0,0,6,5,1,1,4,2000,960,3,1,0,0,0,0,1,1034,0,2006
224,66,10800,1,0,0,0,0,5,6,2,0,7,1958,816,1,1,0,0,0,0,1,1094,0,2006
225,,10656,1,0,0,0,0,5,5,1,1,8,1970,1389,3,1,0,0,0,0,1,1203,0,2008
226,60,9196,1,0,0,0,0,5,5,1,0,6,1996,728,3,1,0,0,0,0,1,1111,0,2008
227,79,14115,0,0,0,1,0,5,5,2,1,6,1920,530,3,1,0,0,0,0,1,1960,0,2009
228,75,7990,1,0,0,0,0,7,6,2,1,5,1954,689,3,1,0,0,0,0,1,1548,0,2006
229,60,8121,1,0,0,0,0,7,5,1,0,6,1916,804,1,1,0,0,0,0,1,1973,0,2008
230,72,9525,1,0,0,0,0,6,5,2,0,5,2004,991,3,1,0,0,0,0,1,1220,0,2008
231,24,7758,1,0,0,0,0,8,5,1,0,7,2000,483,3,1,0,0,0,0,1,2270,0,2007
232,70,11600,0,0,1,0,0,6,5,2,0,6,1972,654,3,1,0,0,0,0,1,2192,0,2008
233,,8246,0,0,0,1,0,5,6,2,0,7,1882,1056,3,1,0,0,0,0,1,1547,0,2009
234,90,8123,1,0,0,0,0,5,5,2,1,6,1940,860,2,1,0,0,0,0,1,2138,0,2006
235,91,10625,1,0,0,0,0,8,5,2,0,5,1958,686,4,1,0,0,0,0,1,1034,0,2007
236,65,10140,1,0,0,0,0,6,6,3,0,10,1959,720,3,1,0,0,0,0,1,864,0,2007
237,75,11228,0,0,0,0,1,5,5,2,0,7,2006,1040,3,1,0,0,0,0,1,1376,0,2007
238,137,1526,1,0,0,0,0,7,6,1,1,6,1955,680,4,1,0,0,0,0,1,1224,0,2009
239,67,9236,1,0,0,0,0,8,5,2,0,10,1954,768,3,1,0,0,0,0,1,1855,0,2010
240,91,8004,1,0,0,0,0,6,5,2,1,6,1986,1572,2,1,0,0,0,1,0,1756,0,2007
241,,8740,1,0,0,0,0,8,5,2,1,10,2004,1086,2,1,0,0,0,0,1,1707,0,2010
242,50,7134,1,0,0,0,0,8,5,2,1,6,1976,1431,3,1,0,0,0,0,1,792,0,2007
243,,8064,1,0,0,0,0,6,6,2,0,6,2004,1368,6,1,0,0,0,0,1,1200,0,2007
244,90,10762,1,0,0,0,0,6,5,1,0,7,1959,896,4,1,0,0,0,0,1,1790,0,2010
245,70,9200,1,0,0,0,0,7,7,2,0,8,1965,650,1,1,0,0,0,0,1,1181,0,2007
246,60,8012,1,0,0,0,0,6,5,2,1,5,1997,1145,3,1,0,0,0,0,1,912,0,2008
247,60,12692,1,0,0,0,0,6,8,2,1,6,1880,864,3,1,0,0,0,0,1,1269,0,2006
248,75,10800,0,0,0,0,1,6,5,2,1,4,2000,1258,3,1,0,0,0,0,1,2097,0,2008
249,74,4251,1,0,0,0,0,6,5,2,0,6,1925,504,4,1,0,0,0,0,1,1116,0,2007
250,83,14450,1,0,0,0,0,7,5,1,0,7,1980,1606,1,1,0,0,0,0,1,1218,0,2009
251,24,10000,0,0,0,0,1,6,5,1,0,7,1923,983,1,1,0,0,0,0,1,912,0,2006
